31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (00AB9A40)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (00AB9AE8)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (00AB9B90)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (00AB9C38)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (00AB9CE0)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (00AB9D88)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (00AB9E30)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (00AB9ED8)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (00AB9F80)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (00ABA028)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (00ABA0D0)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (00ABA178)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (00ABA220)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (00ABA2C8)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (00ABA370)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (00ABA418)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (00ABA4C0)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'HorizontalLayoutContainer' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'HorizontalLayoutContainer' windows added. (00ABA568)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'VerticalLayoutContainer' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'VerticalLayoutContainer' windows added. (00ABA610)
31/01/2014 13:57:44 (Std) 	Created WindowFactory for 'GridLayoutContainer' windows.
31/01/2014 13:57:44 (Std) 	WindowFactory for 'GridLayoutContainer' windows added. (00ABA6B8)
31/01/2014 13:57:44 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
31/01/2014 13:57:44 (Std) 	CEGUI::System singleton created. (0ABF68C8)
31/01/2014 13:57:44 (Std) 	---- CEGUI System initialisation completed ----
31/01/2014 13:57:44 (Std) 	
31/01/2014 13:57:44 (Std) 	Started creation of Scheme from XML specification:
31/01/2014 13:57:44 (Std) 	---- CEGUI GUIScheme name: TaharezLook
31/01/2014 13:57:44 (Std) 	Started creation of Imageset from XML specification:
31/01/2014 13:57:44 (Std) 	---- CEGUI Imageset name: TaharezLook
31/01/2014 13:57:44 (Std) 	---- Source texture file: TaharezLook.tga in resource group: (Default)
31/01/2014 13:57:44 (Std) 	Started creation of Font from XML specification:
31/01/2014 13:57:44 (Std) 	---- CEGUI font name: DejaVuSans-10
31/01/2014 13:57:44 (Std) 	----       Font type: FreeType
31/01/2014 13:57:44 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
31/01/2014 13:57:44 (Std) 	---- Real point size: 10
31/01/2014 13:57:44 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
31/01/2014 13:57:44 (Std) 	===== Look and feel parsing completed =====
31/01/2014 13:57:44 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Button' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/Button' added. (0AD1B1F8)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Default' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/Default' added. (0AD1B690)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Editbox' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/Editbox' added. (0AD1BA80)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/FrameWindow' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (0AD1BB28)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (0AD1BBD0)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (0AD1BC78)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (0AD1BD20)
